ID,Title,Description
1,Colors of UAE Soils,"Deserts of UAE are decorated with multi-spectral aethetic views consisting of sands of different colors, iron rich gives red shade, quartz and calcium carbonate rich gives white shade."
2,Key soils of UAE,"Uniform looking deserts of UAE infact presents diversfied soil types different in their properties and uses. In depth presence of layers such as loose and solidified gypsum and calcium carbonates, salts and natural sands defined major soils of UAE."
3,Soil conditioners,"Native sandy soils are low in fertility status. In the UAE farmers are using organic and inorganic amendments called ""Soil conditioners"" to improve water and nutrient holding capacities of soil to improve soil health to enhance crop production."
4,Auger,"A tool for boring holes in soil to collect soil samples at various depths. Different augers are used to collect various types of materials (sand, mud, gravels, dry and moist soils)."
5,Sampling tube,It is used to collect in depth soil samples from cultivated fields and loose materials.
6,Soil profiler,It is used to collect undisturbed soil section from root zone of turf grass and other agriculture fields to observe in depth soil conditions.
7,Soil moisture meter,It measures volume of soil moisture in soil and avoids sample collection and analyses in the laboratory.
8,Shovel,"A hand tool for digging, lifting, and moving bulk materials, such as soil and gravels. It consists of a broad blade fixed to a medium-length handle."
9,Sieves,Sieves are used to separate different particle sizes from the soil samples and to remove gravels.
10,Soil core,It collects undisturbed soil core to determine mass per unit volume of soil (bulk density) indicating soil is porous or denser.
11,Clinometer,"A handy tool with an easily readable scale ideal for measuring tree, pole, and sand dune heights."
12,GPS,The GPS is a space-based navigation system that provides location and time information anywhere on the Earth where there is an unobstructed line of sight from GPS satellites.
13,Penetrometer,It is used to determine the soil’s strength to assure roots will grow through the ground and water moves freely.
14,Sand spear,Innovative tool to collect loose material from deeper layers of sand dunes which otherwise not possible with standard soil augers.
15,Crowbar,When the auger cannot penetrate the hard material the crowbar is used to break the hard material for sampling and analyses.
16,Salinity probe,A handy equipment used in agriculture fields to measure root-zone salinity instantly and avoids sample collection and analyses in the laboratory.
17,Ground conductivity meter (EM 38),A handy tool that brings revolution in soil salinity surveys of agricultural farms. Soil salinity data can be recorded on a second-by-second basis using data logger and geo-referenced soil salinity maps can be prepared rapidly.
18,Salinity sensors,Soil salinity sensor measures in-situ soil salinity without continuous disruption to soil. Burying sensors at various depths and their connection to data logger provides soil salinity information over a long period.
19,pH meter,"It measures soil or water pH to determine if the samples are acidic (< pH 7), Neutral (pH 7) or alkaline (pH > 7). The pH value also indicates soils nutrient availability status."
20,Conductivity meter,It measures electrical conductivity to express soil and water salinity. The higher salt contents give higher electrical conductivity.
21,Clay,Any particle with a size of less than 2 micron meter (µm)is called clay. Clay feels sticky when wet. Clay size is like salt grain.
